Node Name,Op Type,Activation,Weights,Bias
/model.24/cv2.0/cv2.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv3.0/cv3.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/act/Mul,Mul,UINT8,,
/model.24/cv2.0/cv2.0.0/act/Mul,Mul,UINT8,,
/model.24/cv3.0/cv3.0.0/act/Mul,Mul,UINT8,,
/model.19/Concat,Concat,UINT8,,
/model.24/cv2.0/cv2.0.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.0/cv3.0.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv2.0/cv2.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv3.0/cv3.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.20/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.20/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv2.0/cv2.0.1/act/Mul,Mul,UINT8,,
/model.24/cv3.0/cv3.0.1/act/Mul,Mul,UINT8,,
/model.20/cv1/act/Mul,Mul,UINT8,,
/model.20/cv2/act/Mul,Mul,UINT8,,
/model.24/cv2.0/cv2.0.2/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.0/cv3.0.2/Conv,Conv,UINT8,INT8,INT8
/model.20/m/m.0/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/Concat,Concat,UINT8,,
/model.20/m/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/Reshape,Reshape,UINT8,,
/model.20/m/m.0/cv1/act/Mul,Mul,UINT8,,
/model.20/m/m.0/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/m/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.20/m/m.0/cv2/act/Mul,Mul,UINT8,,
/model.20/Concat,Concat,UINT8,,
/model.20/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.20/cv3/act/Sigmoid,HardSigmoid,UINT8,,
/model.20/cv3/act/Mul,Mul,UINT8,,
/model.21/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv2.1/cv2.1.0/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.1/cv3.1.0/conv/Conv,Conv,UINT8,INT8,INT8
/model.21/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv2.1/cv2.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.24/cv3.1/cv3.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/act/Mul,Mul,UINT8,,
/model.24/cv2.1/cv2.1.0/act/Mul,Mul,UINT8,,
/model.24/cv3.1/cv3.1.0/act/Mul,Mul,UINT8,,
/model.22/Concat,Concat,UINT8,,
/model.24/cv2.1/cv2.1.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv3.1/cv3.1.1/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/cv1/conv/Conv,Conv,UINT8,INT8,INT8
/model.23/cv2/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/cv2.1/cv2.1.1/act/Sigmoid,HardSigmoid,UINT8,,
